,datetime,annualrate
112,2009-05-01,5.48
113,2009-06-01,5.47
114,2009-07-01,5.58
115,2009-08-01,5.63
116,2009-09-01,5.96
117,2009-10-01,6.05
118,2009-11-01,6.0
119,2009-12-01,5.95
120,2010-01-01,6.02
121,2010-02-01,5.92
122,2010-03-01,5.8
123,2010-04-01,5.46
124,2010-05-01,5.16
125,2010-06-01,5.15
126,2010-07-01,5.13
127,2010-08-01,5.26
128,2010-09-01,5.22
129,2010-10-01,5.21
130,2010-11-01,5.15
131,2010-12-01,5.08
132,2011-01-01,5.3
133,2011-02-01,5.26
134,2011-03-01,5.41
135,2011-04-01,5.42
136,2011-05-01,5.49
137,2011-06-01,5.47
138,2011-07-01,5.46
139,2011-08-01,5.58
140,2011-09-01,5.66
141,2011-10-01,5.56
142,2011-11-01,5.6
143,2011-12-01,5.37
144,2012-01-01,5.8
145,2012-02-01,5.67
146,2012-03-01,5.62
147,2012-04-01,5.54
148,2012-05-01,5.51
149,2012-06-01,5.38
150,2012-07-01,5.2
151,2012-08-01,4.9
152,2012-09-01,4.86
153,2012-10-01,4.84
154,2012-11-01,4.74
155,2012-12-01,4.54
156,2013-01-01,4.84
157,2013-02-01,4.61
158,2013-03-01,4.55
159,2013-04-01,4.42
160,2013-05-01,4.3
161,2013-06-01,4.11
162,2013-07-01,4.31
163,2013-08-01,4.33
164,2013-09-01,4.26
165,2013-10-01,4.21
166,2013-11-01,4.19
167,2013-12-01,4.1
168,2014-01-01,4.15
169,2014-02-01,4.05
170,2014-03-01,4.09
171,2014-04-01,4.04
172,2014-05-01,4.02
173,2014-06-01,3.94
174,2014-07-01,3.93
175,2014-08-01,3.76
176,2014-09-01,3.76
177,2014-10-01,3.64
178,2014-11-01,3.55
179,2014-12-01,3.55
180,2015-01-01,3.59
181,2015-02-01,3.48
182,2015-03-01,3.21
183,2015-04-01,2.96
184,2015-05-01,3.27
185,2015-06-01,3.22
186,2015-07-01,3.17
187,2015-08-01,3.13
188,2015-09-01,3.11
189,2015-10-01,3.06
190,2015-11-01,3.16
191,2015-12-01,3.23
192,2016-01-01,3.28
193,2016-02-01,3.21
194,2016-03-01,3.24
195,2016-04-01,3.17
196,2016-05-01,3.16
197,2016-06-01,3.06
198,2016-07-01,2.96
199,2016-08-01,2.95
200,2016-09-01,3.03
201,2016-10-01,3.08
202,2016-11-01,3.2
203,2016-12-01,3.29
204,2017-01-01,3.39
205,2017-02-01,3.38
206,2017-03-01,3.43
207,2017-04-01,3.41
208,2017-05-01,3.47
209,2017-06-01,3.41
210,2017-07-01,3.46
211,2017-08-01,3.39
212,2017-09-01,3.41
213,2017-10-01,3.51
214,2017-11-01,3.59
215,2017-12-01,3.61
216,2018-01-01,3.71
217,2018-02-01,3.65
218,2018-03-01,3.69
219,2018-04-01,3.69
220,2018-05-01,3.75
221,2018-06-01,3.72
222,2018-07-01,3.73
223,2018-08-01,3.66
224,2018-09-01,3.62
225,2018-10-01,3.64
226,2018-11-01,3.63
227,2018-12-01,3.61
228,2019-01-01,3.58
229,2019-02-01,3.5
230,2019-03-01,3.53
231,2019-04-01,3.48
232,2019-05-01,3.49
233,2019-06-01,3.25
234,2019-07-01,3.12
235,2019-08-01,2.92
236,2019-09-01,3.02
237,2019-10-01,3.01
238,2019-11-01,2.96
239,2019-12-01,2.98
240,2020-01-01,2.95
241,2020-02-01,2.9
242,2020-03-01,2.88
243,2020-04-01,2.89
244,2020-05-01,2.81
245,2020-06-01,2.67
246,2020-07-01,2.62
247,2020-08-01,2.55
248,2020-09-01,2.59
249,2020-10-01,2.64
250,2020-11-01,2.72
251,2020-12-01,2.79
252,2021-01-01,2.83
253,2021-02-01,2.81
254,2021-03-01,2.88
255,2021-04-01,2.91
256,2021-05-01,2.89
257,2021-06-01,2.92
258,2021-07-01,2.98
259,2021-08-01,3.1
260,2021-09-01,3.18
261,2021-10-01,3.46
262,2021-11-01,3.61
263,2021-12-01,3.66
264,2022-01-01,3.91
265,2022-02-01,3.93
266,2022-03-01,3.98
267,2022-04-01,4.05
268,2022-05-01,4.14
269,2022-06-01,4.23
270,2022-07-01,4.53
271,2022-08-01,4.76
